ym,plant_code,line_code,total,fail_count,yield_rate
2023-08,ULN,UL3,11027,444,95.97
2023-08,ULN,UL4,11210,448,96.0
2023-08,ULN,UL5,11053,412,96.27
2023-09,ASN,AS1,9674,414,95.72
2023-09,ASN,AS2,9925,418,95.79
2023-09,ASN,AS3,10018,429,95.72
2023-09,GWJ,GW1,9035,340,96.24
2023-09,GWJ,GW2,8825,330,96.26
2023-09,HWS,HW1,5922,231,96.1
2023-09,HWS,HW2,5945,246,95.86
2023-09,HWS,HW3,5874,230,96.08
2023-09,ULN,UL1,10820,439,95.94
2023-09,ULN,UL2,10718,406,96.21
2023-09,ULN,UL3,10682,417,96.1
2023-09,ULN,UL4,10482,415,96.04
2023-09,ULN,UL5,10828,488,95.49
2023-10,ASN,AS1,10430,415,96.02
2023-10,ASN,AS2,10192,421,95.87
2023-10,ASN,AS3,10272,443,95.69
2023-10,GWJ,GW1,9223,388,95.79
2023-10,GWJ,GW2,9322,354,96.2
2023-10,HWS,HW1,6240,264,95.77
2023-10,HWS,HW2,6190,254,95.9
2023-10,HWS,HW3,6109,199,96.74
2023-10,ULN,UL1,11029,438,96.03
2023-10,ULN,UL2,11220,461,95.89
2023-10,ULN,UL3,11030,458,95.85
2023-10,ULN,UL4,11007,423,96.16
2023-10,ULN,UL5,10932,447,95.91
2023-11,ASN,AS1,9896,414,95.82
2023-11,ASN,AS2,9898,442,95.53
2023-11,ASN,AS3,10007,438,95.62
2023-11,GWJ,GW1,9062,390,95.7
2023-11,GWJ,GW2,8862,395,95.54
2023-11,HWS,HW1,5918,251,95.76
2023-11,HWS,HW2,5961,261,95.62
2023-11,HWS,HW3,5888,223,96.21
2023-11,ULN,UL1,10518,448,95.74
2023-11,ULN,UL2,10539,409,96.12
2023-11,ULN,UL3,10683,446,95.83
2023-11,ULN,UL4,10668,430,95.97
2023-11,ULN,UL5,10624,436,95.9
2023-12,ASN,AS1,10387,438,95.78
2023-12,ASN,AS2,10151,377,96.29
2023-12,ASN,AS3,10379,424,95.91
2023-12,GWJ,GW1,9272,372,95.99
2023-12,GWJ,GW2,9133,369,95.96
2023-12,HWS,HW1,6184,271,95.62
2023-12,HWS,HW2,6127,259,95.77
2023-12,HWS,HW3,6176,249,95.97
2023-12,ULN,UL1,10958,417,96.19
2023-12,ULN,UL2,10825,438,95.95
2023-12,ULN,UL3,11193,473,95.77
2023-12,ULN,UL4,11033,455,95.88
2023-12,ULN,UL5,11028,451,95.91
2024-01,ASN,AS1,10097,400,96.04
2024-01,ASN,AS2,10293,412,96.0
2024-01,ASN,AS3,10273,418,95.93
2024-01,GWJ,GW1,9226,383,95.85
2024-01,GWJ,GW2,9135,409,95.52
2024-01,HWS,HW1,6068,241,96.03
2024-01,HWS,HW2,6209,254,95.91
2024-01,HWS,HW3,6207,257,95.86
2024-01,ULN,UL1,11128,450,95.96
2024-01,ULN,UL2,11056,422,96.18
2024-01,ULN,UL3,11206,455,95.94
2024-01,ULN,UL4,11125,452,95.94
2024-01,ULN,UL5,11252,451,95.99
2024-02,ASN,AS1,9615,389,95.95
2024-02,ASN,AS2,9537,398,95.83
2024-02,ASN,AS3,9572,385,95.98
2024-02,GWJ,GW1,8617,357,95.86
2024-02,GWJ,GW2,8827,325,96.32
2024-02,HWS,HW1,5777,221,96.17
2024-02,HWS,HW2,5744,262,95.44
2024-02,HWS,HW3,5728,236,95.88
2024-02,ULN,UL1,10336,402,96.11
2024-02,ULN,UL2,10450,418,96.0
2024-02,ULN,UL3,10369,425,95.9
2024-02,ULN,UL4,10259,419,95.92
2024-02,ULN,UL5,10342,422,95.92
2024-03,ASN,AS1,10198,438,95.71
2024-03,ASN,AS2,10120,374,96.3
2024-03,ASN,AS3,9929,407,95.9
2024-03,GWJ,GW1,9261,368,96.03
2024-03,GWJ,GW2,9422,368,96.09
2024-03,HWS,HW1,6133,264,95.7
2024-03,HWS,HW2,6281,272,95.67
2024-03,HWS,HW3,6082,249,95.91
2024-03,ULN,UL1,11123,451,95.95
2024-03,ULN,UL2,11020,420,96.19
2024-03,ULN,UL3,11171,450,95.97
2024-03,ULN,UL4,11050,448,95.95
2024-03,ULN,UL5,11240,487,95.67
2024-04,ASN,AS1,9884,387,96.08
2024-04,ASN,AS2,10192,415,95.93
2024-04,ASN,AS3,9868,372,96.23
2024-04,GWJ,GW1,8796,370,95.79
2024-04,GWJ,GW2,9108,388,95.74
2024-04,HWS,HW1,5934,270,95.45
2024-04,HWS,HW2,5837,226,96.13
2024-04,HWS,HW3,5928,232,96.09
2024-04,ULN,UL1,10694,405,96.21
2024-04,ULN,UL2,10586,403,96.19
2024-04,ULN,UL3,10763,436,95.95
2024-04,ULN,UL4,10684,464,95.66
2024-04,ULN,UL5,10648,409,96.16
2024-05,ASN,AS1,10387,438,95.78
2024-05,ASN,AS2,10393,435,95.81
2024-05,ASN,AS3,10377,427,95.89
2024-05,GWJ,GW1,9265,344,96.29
2024-05,GWJ,GW2,9170,345,96.24
2024-05,HWS,HW1,6234,256,95.89
2024-05,HWS,HW2,6111,253,95.86
2024-05,HWS,HW3,6152,257,95.82
2024-05,ULN,UL1,11007,415,96.23
2024-05,ULN,UL2,11212,431,96.16
2024-05,ULN,UL3,11050,480,95.66
2024-05,ULN,UL4,10994,441,95.99
2024-05,ULN,UL5,11255,471,95.82
2024-06,ASN,AS1,9968,403,95.96
2024-06,ASN,AS2,9864,426,95.68
2024-06,ASN,AS3,9845,389,96.05
2024-06,GWJ,GW1,8806,355,95.97
2024-06,GWJ,GW2,8921,366,95.9
2024-06,HWS,HW1,5888,229,96.11
2024-06,HWS,HW2,5994,254,95.76
2024-06,HWS,HW3,5981,248,95.85
2024-06,ULN,UL1,10769,415,96.15
2024-06,ULN,UL2,10507,416,96.04
2024-06,ULN,UL3,10674,475,95.55
2024-06,ULN,UL4,10604,435,95.9
2024-06,ULN,UL5,10662,431,95.96
2024-07,ASN,AS1,10294,400,96.11
2024-07,ASN,AS2,10387,419,95.97
2024-07,ASN,AS3,10312,427,95.86
2024-07,GWJ,GW1,9160,397,95.67
2024-07,GWJ,GW2,9233,374,95.95
2024-07,HWS,HW1,6142,235,96.17
2024-07,HWS,HW2,6123,264,95.69
2024-07,HWS,HW3,6121,228,96.28
2024-07,ULN,UL1,11163,472,95.77
2024-07,ULN,UL2,11122,494,95.56
2024-07,ULN,UL3,11069,468,95.77
2024-07,ULN,UL4,10970,459,95.82
2024-07,ULN,UL5,11171,458,95.9
2024-08,ASN,AS1,10232,435,95.75
2024-08,ASN,AS2,10218,410,95.99
2024-08,ASN,AS3,10248,399,96.11
2024-08,GWJ,GW1,9194,351,96.18
2024-08,GWJ,GW2,9296,370,96.02
2024-08,HWS,HW1,6235,243,96.1
2024-08,HWS,HW2,6237,225,96.39
2024-08,HWS,HW3,6131,257,95.81
2024-08,ULN,UL1,11125,443,96.02
2024-08,ULN,UL2,10955,433,96.05
2024-08,ULN,UL3,11241,452,95.98
2024-08,ULN,UL4,11194,429,96.17
2024-08,ULN,UL5,11229,492,95.62
2024-09,ASN,AS1,10084,378,96.25
2024-09,ASN,AS2,9767,407,95.83
2024-09,ASN,AS3,10012,434,95.67
2024-09,GWJ,GW1,8907,349,96.08
2024-09,GWJ,GW2,8864,375,95.77
2024-09,HWS,HW1,6051,228,96.23
2024-09,HWS,HW2,5951,230,96.14
2024-09,HWS,HW3,6020,252,95.81
2024-09,ULN,UL1,10797,431,96.01
2024-09,ULN,UL2,10875,442,95.94
2024-09,ULN,UL3,10691,409,96.17
2024-09,ULN,UL4,10773,450,95.82
2024-09,ULN,UL5,10837,479,95.58
2024-10,ASN,AS1,10315,426,95.87
2024-10,ASN,AS2,10187,412,95.96
2024-10,ASN,AS3,10394,442,95.75
2024-10,GWJ,GW1,9195,316,96.56
2024-10,GWJ,GW2,9302,373,95.99
2024-10,HWS,HW1,6012,246,95.91
2024-10,HWS,HW2,6126,251,95.9
2024-10,HWS,HW3,6205,235,96.21
2024-10,ULN,UL1,10890,445,95.91
2024-10,ULN,UL2,10972,472,95.7
2024-10,ULN,UL3,11160,451,95.96
2024-10,ULN,UL4,11237,491,95.63
2024-10,ULN,UL5,11140,471,95.77
2024-11,ASN,AS1,10115,424,95.81
2024-11,ASN,AS2,9970,402,95.97
2024-11,ASN,AS3,9951,403,95.95
2024-11,GWJ,GW1,9058,379,95.82
2024-11,GWJ,GW2,8869,364,95.9
2024-11,HWS,HW1,5866,225,96.16
2024-11,HWS,HW2,6023,272,95.48
2024-11,HWS,HW3,5840,218,96.27
2024-11,ULN,UL1,10880,447,95.89
2024-11,ULN,UL2,10845,482,95.56
2024-11,ULN,UL3,10760,434,95.97
2024-11,ULN,UL4,10750,423,96.07
2024-11,ULN,UL5,10729,425,96.04
2024-12,ASN,AS1,10324,425,95.88
2024-12,ASN,AS2,10483,424,95.96
2024-12,ASN,AS3,10064,415,95.88
2024-12,GWJ,GW1,9397,366,96.11
2024-12,GWJ,GW2,9233,346,96.25
2024-12,HWS,HW1,6192,266,95.7
2024-12,HWS,HW2,6153,246,96.0
2024-12,HWS,HW3,6202,250,95.97
2024-12,ULN,UL1,11037,423,96.17
2024-12,ULN,UL2,11279,447,96.04
2024-12,ULN,UL3,11020,439,96.02
2024-12,ULN,UL4,11147,408,96.34
2024-12,ULN,UL5,11043,478,95.67
2025-01,ASN,AS1,8083,342,95.77
2025-01,ASN,AS2,7882,327,95.85
2025-01,ASN,AS3,7877,344,95.63
2025-01,GWJ,GW1,7195,277,96.15
2025-01,GWJ,GW2,7097,293,95.87
2025-01,HWS,HW1,4774,198,95.85
2025-01,HWS,HW2,4814,187,96.12
2025-01,HWS,HW3,4758,181,96.2
2025-01,ULN,UL1,8694,361,95.85
2025-01,ULN,UL2,8587,347,95.96
2025-01,ULN,UL3,8531,354,95.85
2025-01,ULN,UL4,8620,347,95.97
2025-01,ULN,UL5,8646,372,95.7
