date,plant_code,plant_name,shift,total,fail_count,yield_rate,avg_temp,avg_humidity,avg_takt
2023-01-04,GWJ,광주공장,B,276,15,94.57,22.980797101449276,45.530434782608694,2.8008333333333333
2023-01-04,GWJ,광주공장,C,35,2,94.29,23.365714285714283,44.38285714285715,2.809428571428571
2023-01-04,HWS,화성공장,A,276,15,94.57,22.880797101449275,45.03514492753624,2.8154347826086954
2023-01-04,HWS,화성공장,B,288,15,94.79,22.966666666666665,45.15763888888889,2.8151041666666665
2023-01-04,HWS,화성공장,C,45,3,93.33,22.793333333333333,45.071111111111115,2.7904444444444443
2023-01-04,ULN,울산공장,A,832,39,95.31,23.069951923076925,45.447475961538466,2.812788461538461
2023-01-04,ULN,울산공장,B,799,35,95.62,22.946057571964957,45.53779724655819,2.8000125156445557
2023-01-04,ULN,울산공장,C,94,6,93.62,23.427659574468084,46.65425531914894,2.7897872340425534
2023-01-05,ASN,아산공장,A,492,14,97.15,22.954878048780486,44.77235772357724,2.810711382113821
2023-01-05,ASN,아산공장,B,513,21,95.91,22.926900584795323,44.86803118908382,2.8194541910331385
2023-01-05,ASN,아산공장,C,56,6,89.29,22.708928571428572,44.31964285714286,2.82
2023-01-05,GWJ,광주공장,A,255,8,96.86,22.96078431372549,45.29686274509804,2.819058823529412
2023-01-05,GWJ,광주공장,B,259,11,95.75,22.81698841698842,46.48610038610038,2.8111196911196914
2023-01-05,GWJ,광주공장,C,37,1,97.3,22.405405405405407,45.02972972972973,2.7435135135135136
2023-01-05,HWS,화성공장,A,253,12,95.26,22.971541501976287,44.74703557312253,2.842371541501976
2023-01-05,HWS,화성공장,B,262,11,95.8,22.721755725190842,45.791984732824424,2.821564885496183
2023-01-05,HWS,화성공장,C,38,5,86.84,22.523684210526316,42.43157894736842,2.7910526315789475
2023-01-05,ULN,울산공장,A,848,33,96.11,23.033254716981133,44.54870283018868,2.7968632075471698
2023-01-05,ULN,울산공장,B,834,25,97.0,22.98884892086331,44.59508393285372,2.821223021582734
2023-01-05,ULN,울산공장,C,106,8,92.45,22.78679245283019,44.18962264150944,2.8135849056603774
2023-01-06,ASN,아산공장,A,436,14,96.79,23.105045871559632,45.4105504587156,2.825
2023-01-06,ASN,아산공장,B,437,15,96.57,22.937070938215104,44.460640732265446,2.8053775743707097
2023-01-06,ASN,아산공장,C,50,2,96.0,22.776,43.961999999999996,2.72
2023-01-06,GWJ,광주공장,A,306,14,95.42,23.12091503267974,44.76732026143791,2.811699346405229
2023-01-06,GWJ,광주공장,B,294,14,95.24,23.15408163265306,45.179251700680275,2.787619047619047
2023-01-06,GWJ,광주공장,C,41,2,95.12,22.878048780487806,43.75609756097561,2.8187804878048777
2023-01-06,HWS,화성공장,A,260,13,95.0,23.044615384615387,45.137692307692305,2.806807692307692
2023-01-06,HWS,화성공장,B,276,7,97.46,23.118840579710145,44.903260869565216,2.810869565217391
2023-01-06,HWS,화성공장,C,29,0,100.0,22.66551724137931,44.851724137931036,2.8520689655172418
2023-01-06,ULN,울산공장,A,870,40,95.4,23.007241379310344,45.32908045977012,2.79116091954023
2023-01-06,ULN,울산공장,B,871,35,95.98,23.093800229621127,44.60952927669346,2.807703788748565
2023-01-06,ULN,울산공장,C,105,8,92.38,23.18190476190476,42.75142857142857,2.7480952380952384
2023-01-07,ASN,아산공장,A,463,19,95.9,22.75529157667387,44.62008639308855,2.814470842332613
2023-01-07,ASN,아산공장,B,489,15,96.93,23.22678936605317,44.867484662576686,2.8194274028629858
2023-01-07,ASN,아산공장,C,62,5,91.94,23.00483870967742,47.354838709677416,2.8
2023-01-07,GWJ,광주공장,A,265,5,98.11,22.895849056603772,45.467924528301886,2.8189811320754714
2023-01-07,GWJ,광주공장,B,283,10,96.47,23.053356890459366,45.57703180212014,2.819469964664311
2023-01-07,GWJ,광주공장,C,38,0,100.0,22.93421052631579,47.171052631578945,2.8844736842105263
2023-01-07,HWS,화성공장,A,277,15,94.58,23.267148014440433,45.05812274368231,2.81072202166065
2023-01-07,HWS,화성공장,B,263,10,96.2,22.788212927756653,45.29011406844106,2.7998859315589355
2023-01-07,HWS,화성공장,C,29,5,82.76,22.24827586206897,49.86206896551724,2.829310344827586
2023-01-07,ULN,울산공장,A,833,31,96.28,22.771788715486196,45.55138055222089,2.791740696278511
2023-01-07,ULN,울산공장,B,803,35,95.64,23.023661270236612,45.05305105853051,2.7954669987546703
2023-01-07,ULN,울산공장,C,105,6,94.29,23.175238095238097,44.45809523809524,2.7804761904761905
2023-01-08,ASN,아산공장,A,462,14,96.97,22.953679653679654,44.340692640692644,2.7740692640692637
2023-01-08,ASN,아산공장,B,457,19,95.84,22.788402625820567,44.76542669584245,2.8185995623632385
2023-01-08,ASN,아산공장,C,62,5,91.94,22.677419354838708,44.69193548387097,2.763225806451613
2023-01-08,GWJ,광주공장,A,240,9,96.25,23.163333333333334,45.30875,2.794208333333333
2023-01-08,GWJ,광주공장,B,258,5,98.06,23.191860465116278,45.701550387596896,2.789263565891473
2023-01-08,GWJ,광주공장,C,49,3,93.88,22.616326530612245,44.453061224489794,2.7779591836734694
2023-01-08,HWS,화성공장,A,280,18,93.57,23.247142857142858,45.81928571428571,2.7842857142857143
2023-01-08,HWS,화성공장,B,275,9,96.73,23.212,45.214181818181814,2.8008363636363636
2023-01-08,HWS,화성공장,C,30,2,93.33,22.073333333333334,42.61666666666667,2.701333333333333
2023-01-08,ULN,울산공장,A,848,31,96.34,22.969103773584905,44.960023584905656,2.795070754716981
2023-01-08,ULN,울산공장,B,853,37,95.66,22.96354044548652,45.04994138335287,2.7952989449003516
2023-01-08,ULN,울산공장,C,93,9,90.32,23.092473118279568,43.27204301075269,2.839784946236559
2023-01-09,ASN,아산공장,A,450,16,96.44,22.59711111111111,44.965111111111106,2.7987555555555557
2023-01-09,ASN,아산공장,B,487,15,96.92,22.857084188911703,44.48747433264887,2.8037371663244355
2023-01-09,ASN,아산공장,C,55,1,98.18,22.985454545454548,43.28727272727273,2.6932727272727273
2023-01-09,GWJ,광주공장,A,278,9,96.76,23.20863309352518,44.96474820143885,2.770323741007194
2023-01-09,GWJ,광주공장,B,273,13,95.24,22.982783882783885,44.591575091575095,2.813260073260073
2023-01-09,GWJ,광주공장,C,43,2,95.35,23.127906976744185,47.16744186046512,2.848372093023256
2023-01-09,HWS,화성공장,A,279,13,95.34,23.099641577060932,44.348387096774196,2.797562724014337
2023-01-09,HWS,화성공장,B,301,15,95.02,22.876079734219267,45.23156146179402,2.7979069767441858
2023-01-09,HWS,화성공장,C,41,0,100.0,23.217073170731705,45.09512195121951,2.846585365853658
2023-01-09,ULN,울산공장,A,836,39,95.33,23.000956937799042,45.161244019138756,2.790574162679426
2023-01-09,ULN,울산공장,B,860,30,96.51,23.04732558139535,44.83279069767441,2.806372093023256
2023-01-09,ULN,울산공장,C,113,9,92.04,22.868141592920352,44.47699115044247,2.8287610619469024
2023-01-10,ASN,아산공장,A,491,23,95.32,22.986761710794298,45.38329938900204,2.80061099796334
2023-01-10,ASN,아산공장,B,465,17,96.34,23.087096774193547,44.76215053763441,2.7619569892473117
2023-01-10,ASN,아산공장,C,58,6,89.66,23.32758620689655,44.36379310344827,2.7803448275862066
2023-01-10,GWJ,광주공장,A,273,8,97.07,23.052747252747253,44.87875457875458,2.8265201465201466
2023-01-10,GWJ,광주공장,B,284,11,96.13,22.94788732394366,45.208450704225356,2.812394366197183
2023-01-10,GWJ,광주공장,C,35,3,91.43,22.702857142857145,45.72571428571429,2.783714285714286
2023-01-10,HWS,화성공장,A,298,12,95.97,23.05805369127517,44.84161073825503,2.81496644295302
2023-01-10,HWS,화성공장,B,300,13,95.67,23.189333333333334,44.943,2.811033333333333
2023-01-10,HWS,화성공장,C,36,2,94.44,23.427777777777777,44.37777777777777,2.8600000000000003
2023-01-10,ULN,울산공장,A,828,34,95.89,22.851570048309178,45.203140096618355,2.798405797101449
2023-01-10,ULN,울산공장,B,861,33,96.17,22.871080139372822,44.892450638792106,2.803635307781649
2023-01-10,ULN,울산공장,C,93,4,95.7,22.70967741935484,46.483870967741936,2.828279569892473
2023-01-11,ASN,아산공장,A,487,24,95.07,23.12689938398357,45.17227926078029,2.8004722792607804
2023-01-11,ASN,아산공장,B,468,17,96.37,22.929059829059828,44.70705128205128,2.824209401709402
2023-01-11,ASN,아산공장,C,59,5,91.53,23.184745762711866,43.88474576271186,2.7930508474576268
2023-01-11,GWJ,광주공장,A,291,13,95.53,22.95979381443299,45.472852233676974,2.7889003436426116
2023-01-11,GWJ,광주공장,B,289,18,93.77,22.944290657439446,44.53737024221453,2.805121107266436
2023-01-11,GWJ,광주공장,C,31,0,100.0,23.02258064516129,44.55806451612903,2.785806451612903
2023-01-11,HWS,화성공장,A,272,9,96.69,22.95808823529412,45.57977941176471,2.8002573529411765
2023-01-11,HWS,화성공장,B,288,17,94.1,23.155555555555555,45.577777777777776,2.82625
2023-01-11,HWS,화성공장,C,27,5,81.48,23.62222222222222,43.45925925925926,2.818888888888889
2023-01-11,ULN,울산공장,A,840,40,95.24,22.995833333333334,45.15714285714286,2.7873809523809525
2023-01-11,ULN,울산공장,B,809,28,96.54,22.80655129789864,45.37021013597033,2.7757231149567367
2023-01-11,ULN,울산공장,C,95,7,92.63,23.093684210526316,44.65368421052632,2.7557894736842106
2023-01-12,ASN,아산공장,A,450,12,97.33,22.901333333333334,44.96666666666667,2.8022444444444443
2023-01-12,ASN,아산공장,B,469,21,95.52,23.064179104477613,45.53816631130064,2.775586353944563
2023-01-12,ASN,아산공장,C,59,4,93.22,22.522033898305082,44.11186440677966,2.720677966101695
2023-01-12,GWJ,광주공장,A,254,10,96.06,22.703937007874018,44.61771653543307,2.792677165354331
2023-01-12,GWJ,광주공장,B,290,7,97.59,22.862758620689654,44.991379310344826,2.805758620689655
2023-01-12,GWJ,광주공장,C,38,5,86.84,22.913157894736845,44.20263157894737,2.8228947368421053
2023-01-12,HWS,화성공장,A,292,14,95.21,22.931506849315067,44.22842465753425,2.8249657534246575
2023-01-12,HWS,화성공장,B,244,10,95.9,23.046311475409837,44.71680327868852,2.8205737704918032
2023-01-12,HWS,화성공장,C,42,3,92.86,23.61904761904762,47.41190476190476,2.8023809523809526
2023-01-12,ULN,울산공장,A,835,29,96.53,22.837245508982033,45.03760479041917,2.8042754491017967
2023-01-12,ULN,울산공장,B,851,24,97.18,23.047708578143357,45.41433607520564,2.809271445358402
2023-01-12,ULN,울산공장,C,119,8,93.28,23.346218487394957,45.831932773109244,2.8114285714285714
2023-01-13,ASN,아산공장,A,427,13,96.96,23.102107728337238,45.9072599531616,2.7871896955503517
2023-01-13,ASN,아산공장,B,481,17,96.47,23.204573804573805,45.05384615384616,2.8101247401247402
2023-01-13,ASN,아산공장,C,56,2,96.43,22.50714285714286,45.60892857142857,2.7110714285714286
2023-01-13,GWJ,광주공장,A,300,16,94.67,22.997666666666667,44.525666666666666,2.7888
2023-01-13,GWJ,광주공장,B,257,8,96.89,22.905836575875487,44.83929961089495,2.8118677042801554
2023-01-13,GWJ,광주공장,C,28,3,89.29,22.65357142857143,45.739285714285714,2.825714285714286
2023-01-13,HWS,화성공장,A,267,13,95.13,22.930337078651686,44.37640449438202,2.8287265917602995
2023-01-13,HWS,화성공장,B,296,7,97.64,22.92972972972973,44.59662162162162,2.8057432432432434
2023-01-13,HWS,화성공장,C,29,2,93.1,23.162068965517243,44.62068965517241,2.818275862068966
2023-01-13,ULN,울산공장,A,850,25,97.06,22.869176470588233,44.609529411764704,2.7932823529411763
2023-01-13,ULN,울산공장,B,836,25,97.01,22.997966507177033,45.02392344497608,2.7965789473684213
2023-01-13,ULN,울산공장,C,103,3,97.09,22.87281553398058,45.26699029126213,2.8300970873786406
2023-01-14,ASN,아산공장,A,496,22,95.56,22.880241935483873,44.89939516129032,2.8112500000000002
2023-01-14,ASN,아산공장,B,490,13,97.35,23.21061224489796,44.67612244897959,2.7651632653061227
2023-01-14,ASN,아산공장,C,61,3,95.08,23.332786885245902,45.726229508196724,2.7759016393442626
2023-01-14,GWJ,광주공장,A,267,12,95.51,23.022097378277152,44.058052434456926,2.8267790262172285
2023-01-14,GWJ,광주공장,B,274,15,94.53,22.86970802919708,44.73686131386861,2.7936131386861316
2023-01-14,GWJ,광주공장,C,26,1,96.15,23.873076923076926,44.76153846153846,2.7492307692307696
2023-01-14,HWS,화성공장,A,261,5,98.08,23.25823754789272,45.46168582375479,2.7662068965517244
2023-01-14,HWS,화성공장,B,257,11,95.72,23.20972762645914,45.27392996108949,2.804513618677043
2023-01-14,HWS,화성공장,C,32,1,96.88,22.446875,46.246875,2.815
2023-01-14,ULN,울산공장,A,836,28,96.65,23.04569377990431,45.317583732057415,2.8124880382775115
2023-01-14,ULN,울산공장,B,836,40,95.22,23.07511961722488,44.8206937799043,2.774808612440191
2023-01-14,ULN,울산공장,C,101,5,95.05,22.752475247524753,44.627722772277224,2.8234653465346535
2023-01-15,ASN,아산공장,A,506,21,95.85,22.944466403162053,44.42173913043479,2.7948023715415022
2023-01-15,ASN,아산공장,B,450,19,95.78,23.340444444444447,45.15244444444444,2.7901333333333334
2023-01-15,ASN,아산공장,C,51,4,92.16,23.047058823529415,45.596078431372554,2.861960784313726
2023-01-15,GWJ,광주공장,A,298,13,95.64,22.68221476510067,45.439597315436245,2.8283892617449666
2023-01-15,GWJ,광주공장,B,272,13,95.22,23.057720588235295,44.78272058823529,2.812610294117647
2023-01-15,GWJ,광주공장,C,32,3,90.62,23.13125,46.73125,2.755625
2023-01-15,HWS,화성공장,A,283,9,96.82,22.956890459363958,44.85689045936396,2.8008480565371023
2023-01-15,HWS,화성공장,B,298,10,96.64,22.985906040268457,46.00704697986577,2.8043624161073826
2023-01-15,HWS,화성공장,C,26,1,96.15,22.91923076923077,47.184615384615384,2.8
2023-01-15,ULN,울산공장,A,798,39,95.11,22.88095238095238,45.21390977443609,2.7995363408521308
2023-01-15,ULN,울산공장,B,866,28,96.77,23.065473441108544,44.718360277136256,2.783036951501155
2023-01-15,ULN,울산공장,C,136,13,90.44,22.826470588235296,45.56029411764706,2.8023529411764705
2023-01-16,ASN,아산공장,A,496,20,95.97,22.960483870967742,45.15564516129032,2.8092741935483874
2023-01-16,ASN,아산공장,B,456,12,97.37,22.99232456140351,45.285745614035086,2.77859649122807
2023-01-16,ASN,아산공장,C,51,7,86.27,22.431372549019606,46.52156862745098,2.7796078431372546
2023-01-16,GWJ,광주공장,A,285,15,94.74,23.109473684210524,44.96140350877193,2.819087719298246
2023-01-16,GWJ,광주공장,B,279,13,95.34,23.081362007168458,45.31111111111111,2.766164874551971
2023-01-16,GWJ,광주공장,C,37,3,91.89,22.072972972972973,45.508108108108104,2.7394594594594595
2023-01-16,HWS,화성공장,A,291,17,94.16,22.79484536082474,44.87731958762886,2.8141580756013744
2023-01-16,HWS,화성공장,B,286,8,97.2,22.824475524475524,44.71748251748252,2.803881118881119
2023-01-16,HWS,화성공장,C,32,3,90.62,22.80625,45.5125,2.731875
2023-01-16,ULN,울산공장,A,824,36,95.63,22.91990291262136,45.480461165048546,2.806019417475728
2023-01-16,ULN,울산공장,B,863,40,95.37,22.984936268829664,44.75283893395133,2.800741599073001
2023-01-16,ULN,울산공장,C,96,4,95.83,23.163541666666664,44.41458333333333,2.7891666666666666
2023-01-17,ASN,아산공장,A,453,17,96.25,22.908388520971304,45.14216335540839,2.8041721854304633
2023-01-17,ASN,아산공장,B,458,15,96.72,23.08951965065502,45.44694323144105,2.787576419213974
2023-01-17,ASN,아산공장,C,61,6,90.16,22.704918032786885,44.252459016393445,2.7862295081967217
2023-01-17,GWJ,광주공장,A,294,9,96.94,22.74285714285714,45.41836734693877,2.8445578231292514
2023-01-17,GWJ,광주공장,B,265,11,95.85,22.827924528301885,44.073584905660375,2.824
2023-01-17,GWJ,광주공장,C,28,3,89.29,22.442857142857143,46.949999999999996,2.809285714285714
2023-01-17,HWS,화성공장,A,279,12,95.7,22.71720430107527,44.920430107526876,2.8289605734767025
2023-01-17,HWS,화성공장,B,282,9,96.81,23.21631205673759,44.91347517730497,2.808794326241135
2023-01-17,HWS,화성공장,C,31,0,100.0,22.225806451612904,45.309677419354834,2.7974193548387096
2023-01-17,ULN,울산공장,A,848,28,96.7,22.88573113207547,45.075471698113205,2.799257075471698
2023-01-17,ULN,울산공장,B,865,31,96.42,23.0593063583815,44.61028901734104,2.786150289017341
2023-01-17,ULN,울산공장,C,114,4,96.49,23.0359649122807,44.61754385964912,2.876315789473684
2023-01-18,ASN,아산공장,A,461,24,94.79,23.06832971800434,44.70368763557484,2.7918872017353578
2023-01-18,ASN,아산공장,B,485,18,96.29,22.963505154639172,44.95896907216495,2.81280412371134
2023-01-18,ASN,아산공장,C,63,4,93.65,22.996825396825397,44.65873015873016,2.809047619047619
2023-01-18,GWJ,광주공장,A,282,3,98.94,23.26099290780142,45.7563829787234,2.78468085106383
2023-01-18,GWJ,광주공장,B,305,16,94.75,23.20983606557377,44.38262295081967,2.798950819672131
2023-01-18,GWJ,광주공장,C,30,0,100.0,23.986666666666668,47.013333333333335,2.8213333333333335
2023-01-18,HWS,화성공장,A,242,10,95.87,22.848347107438016,44.15247933884297,2.801611570247934
2023-01-18,HWS,화성공장,B,290,10,96.55,22.96896551724138,44.78344827586207,2.796689655172414
2023-01-18,HWS,화성공장,C,31,0,100.0,23.429032258064513,45.03225806451613,2.8448387096774193
2023-01-18,ULN,울산공장,A,851,32,96.24,23.22373678025852,45.423149236192714,2.7894359576968273
2023-01-18,ULN,울산공장,B,862,35,95.94,23.040371229698376,45.127610208816705,2.811380510440835
2023-01-18,ULN,울산공장,C,118,2,98.31,23.205932203389832,44.082203389830504,2.8309322033898305
2023-01-19,ASN,아산공장,A,481,25,94.8,23.029937629937628,45.511642411642406,2.7775467775467777
2023-01-19,ASN,아산공장,B,479,19,96.03,23.034446764091857,45.309394572025056,2.7979331941544885
2023-01-19,ASN,아산공장,C,69,5,92.75,23.046376811594204,45.369565217391305,2.7873913043478264
2023-01-19,GWJ,광주공장,A,274,16,94.16,23.05912408759124,45.13284671532847,2.802992700729927
2023-01-19,GWJ,광주공장,B,287,14,95.12,22.70313588850174,44.97909407665505,2.7914285714285714
2023-01-19,GWJ,광주공장,C,40,3,92.5,23.692500000000003,45.515,2.85575
2023-01-19,HWS,화성공장,A,274,16,94.16,22.877007299270073,44.912043795620434,2.8126642335766423
2023-01-19,HWS,화성공장,B,301,7,97.67,22.840863787375415,44.24916943521595,2.814551495016611
2023-01-19,HWS,화성공장,C,35,1,97.14,23.677142857142858,43.97142857142857,2.720857142857143
2023-01-19,ULN,울산공장,A,873,40,95.42,23.067010309278352,44.889347079037805,2.788533791523482
2023-01-19,ULN,울산공장,B,882,33,96.26,23.05578231292517,44.65340136054422,2.78640589569161
2023-01-19,ULN,울산공장,C,105,7,93.33,22.552380952380954,44.59428571428571,2.8067619047619043
2023-01-20,ASN,아산공장,A,441,16,96.37,23.00498866213152,44.84149659863945,2.807165532879819
2023-01-20,ASN,아산공장,B,444,11,97.52,23.321171171171173,44.87297297297297,2.8148648648648646
2023-01-20,ASN,아산공장,C,62,3,95.16,22.856451612903225,44.80483870967742,2.831451612903226
2023-01-20,GWJ,광주공장,A,275,10,96.36,23.08036363636364,45.087272727272726,2.788290909090909
2023-01-20,GWJ,광주공장,B,253,11,95.65,23.505533596837942,45.30909090909091,2.800513833992095
2023-01-20,GWJ,광주공장,C,35,2,94.29,22.67142857142857,43.62571428571429,2.774
2023-01-20,HWS,화성공장,A,291,5,98.28,22.82680412371134,45.22646048109966,2.82979381443299
2023-01-20,HWS,화성공장,B,259,10,96.14,23.183783783783785,44.003861003861005,2.7854440154440154
2023-01-20,HWS,화성공장,C,37,2,94.59,22.156756756756756,44.3,2.744864864864865
2023-01-20,ULN,울산공장,A,835,27,96.77,22.953772455089823,45.013413173652694,2.802299401197605
2023-01-20,ULN,울산공장,B,824,26,96.84,23.013834951456314,45.226941747572816,2.8128519417475726
2023-01-20,ULN,울산공장,C,92,11,88.04,22.959782608695654,46.60760869565217,2.8506521739130433
2023-01-21,ASN,아산공장,A,468,24,94.87,23.05213675213675,45.11452991452991,2.7799786324786324
2023-01-21,ASN,아산공장,B,481,17,96.47,22.985446985446984,44.985862785862786,2.78006237006237
2023-01-21,ASN,아산공장,C,66,5,92.42,23.374242424242425,44.487878787878785,2.8190909090909093
2023-01-21,GWJ,광주공장,A,273,13,95.24,22.946886446886445,45.362637362637365,2.8037728937728934
2023-01-21,GWJ,광주공장,B,271,15,94.46,22.854243542435423,44.26752767527675,2.7661254612546124
2023-01-21,GWJ,광주공장,C,27,1,96.3,23.566666666666666,45.77407407407408,2.8262962962962965
2023-01-21,HWS,화성공장,A,256,14,94.53,23.077734375,45.36484375,2.8041015625
2023-01-21,HWS,화성공장,B,286,11,96.15,22.95909090909091,45.67622377622377,2.8086713286713287
2023-01-21,HWS,화성공장,C,28,0,100.0,23.539285714285715,43.69642857142857,2.8167857142857144
2023-01-21,ULN,울산공장,A,836,28,96.65,23.01267942583732,44.85526315789474,2.8138277511961722
2023-01-21,ULN,울산공장,B,896,30,96.65,22.944754464285715,44.95011160714286,2.808203125
2023-01-21,ULN,울산공장,C,112,12,89.29,23.048214285714288,45.510714285714286,2.8355357142857143
2023-01-22,ASN,아산공장,A,436,21,95.18,22.925917431192662,45.16697247706422,2.7993577981651376
2023-01-22,ASN,아산공장,B,497,20,95.98,22.890342052313883,44.94245472837022,2.8059557344064383
2023-01-22,ASN,아산공장,C,66,3,95.45,23.074242424242424,46.89242424242424,2.805454545454545
2023-01-22,GWJ,광주공장,A,278,8,97.12,22.86906474820144,45.64100719424461,2.78636690647482
2023-01-22,GWJ,광주공장,B,285,9,96.84,22.78736842105263,45.004210526315795,2.8232631578947367
2023-01-22,GWJ,광주공장,C,42,1,97.62,23.26904761904762,44.4547619047619,2.777142857142857
2023-01-22,HWS,화성공장,A,280,9,96.79,23.01,45.1625,2.7664285714285715
2023-01-22,HWS,화성공장,B,289,7,97.58,22.923529411764704,44.390657439446365,2.8019377162629757
2023-01-22,HWS,화성공장,C,29,3,89.66,23.175862068965518,46.26206896551724,2.7803448275862066
2023-01-22,ULN,울산공장,A,873,42,95.19,23.184536082474224,45.10343642611684,2.792233676975945
2023-01-22,ULN,울산공장,B,804,39,95.15,23.008084577114428,45.17574626865672,2.7884825870646766
2023-01-22,ULN,울산공장,C,112,9,91.96,23.212500000000002,43.65625,2.7987499999999996
2023-01-23,ASN,아산공장,A,487,9,98.15,22.793839835728953,45.10451745379877,2.7914373716632443
2023-01-23,ASN,아산공장,B,498,18,96.39,22.90100401606426,44.72730923694779,2.7828112449799196
2023-01-23,ASN,아산공장,C,54,3,94.44,22.8537037037037,45.70925925925926,2.8777777777777778
2023-01-23,GWJ,광주공장,A,267,6,97.75,23.231460674157304,44.301872659176034,2.797940074906367
2023-01-23,GWJ,광주공장,B,269,10,96.28,22.906691449814126,44.5910780669145,2.8065055762081785
2023-01-23,GWJ,광주공장,C,39,2,94.87,22.871794871794872,45.40512820512821,2.8317948717948718
2023-01-23,HWS,화성공장,A,270,11,95.93,23.113333333333333,45.01111111111111,2.7795185185185187
2023-01-23,HWS,화성공장,B,286,10,96.5,23.024125874125872,44.65874125874126,2.7924825174825174
2023-01-23,HWS,화성공장,C,41,3,92.68,22.714634146341464,45.075609756097556,2.86609756097561
2023-01-23,ULN,울산공장,A,839,36,95.71,22.87938021454112,44.83384982121573,2.7996424314660313
2023-01-23,ULN,울산공장,B,859,30,96.51,22.90908032596042,44.823166472642605,2.781385331781141
2023-01-23,ULN,울산공장,C,119,13,89.08,23.233613445378154,44.98403361344538,2.7578991596638653
