defect_type_code,defect_type_name,zone_code,severity,n_samples,shift_A_ratio,shift_B_ratio,shift_C_ratio,dominant_shift,peak_hour,shift_start_ratio,avg_humidity,low_humidity_ratio,avg_temp,avg_rework_min,total_rework_min,rework_required_ratio,std_rework_time_min
CRK,크랙,RD,CRITICAL,595,0.4857142857142857,0.4235294117647059,0.0907563025210084,A,7,0.253781512605042,44.51395,0.005042017,23.09563,90.0,53550,1.0,90
CRK,크랙,RF,CRITICAL,625,0.5072,0.3936,0.0992,A,6,0.2688,45.10224,0.0112,23.19952,90.0,56250,1.0,90
CRK,크랙,ROCKER,CRITICAL,564,0.5070921985815603,0.4219858156028369,0.07092198581560284,A,7,0.20035460992907803,44.687943,0.0017730496,23.140781,90.0,50760,1.0,90
CRK,크랙,ROOF,CRITICAL,582,0.49140893470790376,0.42955326460481097,0.07903780068728522,A,6,0.24742268041237114,45.216496,0.010309278,23.026804,90.0,52380,1.0,90
CRK,크랙,TRUNK,CRITICAL,531,0.504708097928437,0.3935969868173258,0.1016949152542373,A,22,0.2542372881355932,44.854614,0.0037664783,23.09548,90.0,47790,1.0,90
DNT,덴트,BUMPER_F,MAJOR,2154,0.4767873723305478,0.4266480965645311,0.09656453110492108,A,22,0.233983286908078,44.854225,0.004178273,22.945774,45.0,96930,1.0,45
DNT,덴트,BUMPER_R,MAJOR,2158,0.47034291010194623,0.4388322520852641,0.09082483781278962,A,22,0.22335495829471733,44.93054,0.0069508804,22.901714,45.0,97110,1.0,45
DNT,덴트,FD,MAJOR,2095,0.47255369928400953,0.4510739856801909,0.07637231503579953,A,21,0.22052505966587113,44.8232,0.0062052505,22.919476,45.0,94275,1.0,45
DNT,덴트,FF,MAJOR,2141,0.49229332087809435,0.41475945819710414,0.0929472209248015,A,22,0.22746380196170013,45.057823,0.009341429,23.06623,45.0,96345,1.0,45
DNT,덴트,HOOD,MAJOR,2098,0.4857006673021926,0.43183984747378457,0.08245948522402288,A,6,0.23117254528122022,44.894283,0.009056244,23.095663,45.0,94410,1.0,45
DNT,덴트,QTR_L,MAJOR,2213,0.4717577948486218,0.4378671486669679,0.0903750564844103,A,21,0.21554450971531858,44.869995,0.005422503,23.007772,45.0,99585,1.0,45
DNT,덴트,QTR_R,MAJOR,2084,0.4534548944337812,0.45489443378119004,0.0916506717850288,B,22,0.22072936660268713,44.863342,0.007677543,23.031286,45.0,93780,1.0,45
DNT,덴트,RD,MAJOR,2143,0.4913672421838544,0.4437704153056463,0.0648623425104993,A,7,0.21838544097060195,45.2517,0.0060662623,22.914513,45.0,96435,1.0,45
DNT,덴트,RF,MAJOR,2147,0.46297158826269214,0.4527247321844434,0.08430367955286447,A,6,0.22775966464834654,44.853844,0.005589194,23.091757,45.0,96615,1.0,45
DNT,덴트,ROCKER,MAJOR,2155,0.4737819025522042,0.4403712296983759,0.08584686774941995,A,21,0.23248259860788864,44.711926,0.007888631,23.025198,45.0,96975,1.0,45
DNT,덴트,ROOF,MAJOR,2107,0.4902705268153773,0.43521594684385384,0.07451352634076887,A,7,0.2026578073089701,45.26279,0.006644518,22.938587,45.0,94815,1.0,45
DNT,덴트,TRUNK,MAJOR,2088,0.47174329501915707,0.44013409961685823,0.08812260536398467,A,6,0.23802681992337166,44.993534,0.004310345,22.968151,45.0,93960,1.0,45
DST,이물질,BUMPER_F,MINOR,1452,0.493801652892562,0.4256198347107438,0.08057851239669421,A,6,0.21349862258953167,44.776653,0.008953168,22.954132,10.0,14520,0.30922865013774103,10
DST,이물질,BUMPER_R,MINOR,1397,0.47888332140300643,0.44810307802433785,0.07301360057265568,A,6,0.21832498210450965,44.49198,0.005010737,22.991053,10.0,13970,0.29205440229062274,10
DST,이물질,FD,MINOR,1398,0.4821173104434907,0.43705293276108725,0.08082975679542204,A,6,0.2296137339055794,45.01459,0.010014306,23.124605,10.0,13980,0.3040057224606581,10
DST,이물질,FF,MINOR,1402,0.48074179743223966,0.42296718972895864,0.09629101283880172,A,22,0.2268188302425107,44.908485,0.009272468,22.990656,10.0,14020,0.3017118402282454,10
DST,이물질,HOOD,MINOR,1485,0.4713804713804714,0.43905723905723903,0.08956228956228957,A,6,0.2356902356902357,44.843433,0.006060606,22.957575,10.0,14850,0.3037037037037037,10
DST,이물질,QTR_L,MINOR,1428,0.47549019607843135,0.4334733893557423,0.09103641456582633,A,7,0.23669467787114845,45.0,0.004901961,22.905743,10.0,14280,0.30952380952380953,10
DST,이물질,QTR_R,MINOR,1418,0.4823695345557123,0.42736248236953456,0.09026798307475317,A,6,0.24330042313117067,44.937164,0.005641749,23.090055,10.0,14180,0.27926657263751764,10
DST,이물질,RD,MINOR,1464,0.48360655737704916,0.4337431693989071,0.08265027322404371,A,6,0.2336065573770492,44.99809,0.006830601,22.990778,10.0,14640,0.29030054644808745,10
DST,이물질,RF,MINOR,1451,0.45761543762922124,0.461750516884907,0.08063404548587182,B,21,0.21778084079944865,44.868366,0.005513439,22.951412,10.0,14510,0.31357684355616816,10
DST,이물질,ROCKER,MINOR,1405,0.49110320284697506,0.43202846975088965,0.07686832740213523,A,6,0.21565836298932384,45.217083,0.004270463,22.931814,10.0,14050,0.2775800711743772,10
DST,이물질,ROOF,MINOR,1400,0.45785714285714285,0.45357142857142857,0.08857142857142856,A,21,0.22142857142857142,44.990074,0.007142857,23.04857,10.0,14000,0.2892857142857143,10
DST,이물질,TRUNK,MINOR,1450,0.49310344827586206,0.42758620689655175,0.07931034482758621,A,21,0.2110344827586207,44.943863,0.0034482758,22.99648,10.0,14500,0.28758620689655173,10
GAP,Gap불량,BUMPER_F,CRITICAL,1197,0.48120300751879697,0.4369256474519632,0.08187134502923976,A,6,0.23057644110275688,44.376274,0.007518797,23.1066,60.0,71820,1.0,60
GAP,Gap불량,BUMPER_R,CRITICAL,1118,0.47137745974955275,0.4275491949910555,0.10107334525939177,A,22,0.23434704830053668,44.795795,0.0026833632,22.892307,60.0,67080,1.0,60
GAP,Gap불량,FD,CRITICAL,1121,0.487957181088314,0.42908117752007136,0.08296164139161463,A,6,0.22747546833184656,44.974308,0.007136485,23.063248,60.0,67260,1.0,60
GAP,Gap불량,FF,CRITICAL,1139,0.456540825285338,0.46444249341527655,0.07901668129938542,B,7,0.2247585601404741,44.730995,0.007023705,23.074802,60.0,68340,1.0,60
GAP,Gap불량,HOOD,CRITICAL,1130,0.4433628318584071,0.46194690265486726,0.09469026548672567,B,21,0.2398230088495575,44.46726,0.003539823,22.965574,60.0,67800,1.0,60
GAP,Gap불량,QTR_L,CRITICAL,1077,0.48653667595171773,0.43268337975858867,0.0807799442896936,A,6,0.22469823584029713,45.087837,0.0027855153,22.944475,60.0,64620,1.0,60
GAP,Gap불량,QTR_R,CRITICAL,1119,0.4718498659517426,0.44235924932975873,0.08579088471849866,A,6,0.22788203753351208,45.05219,0.0062555852,23.046381,60.0,67140,1.0,60
GAP,Gap불량,RD,CRITICAL,1117,0.477170993733214,0.423455684870188,0.09937332139659803,A,22,0.23724261414503134,45.00886,0.009847807,22.962221,60.0,67020,1.0,60
GAP,Gap불량,RF,CRITICAL,1156,0.4472318339100346,0.45069204152249137,0.10207612456747404,B,22,0.21972318339100347,44.154324,0.0069204154,23.119637,60.0,69360,1.0,60
GAP,Gap불량,ROCKER,CRITICAL,1141,0.4767747589833479,0.43470639789658194,0.08851884312007012,A,7,0.22436459246275198,44.898335,0.010517091,22.947765,60.0,68460,1.0,60
GAP,Gap불량,ROOF,CRITICAL,1168,0.4529109589041096,0.4315068493150685,0.11558219178082192,A,22,0.24743150684931506,44.822773,0.0025684931,22.975685,60.0,70080,1.0,60
GAP,Gap불량,TRUNK,CRITICAL,1122,0.47950089126559714,0.44563279857397503,0.0748663101604278,A,7,0.20766488413547238,44.854546,0.0053475937,23.122192,60.0,67320,1.0,60
ORG,오렌지필,BUMPER_F,MINOR,1164,0.4733676975945017,0.44587628865979384,0.08075601374570447,A,7,0.20103092783505155,44.920963,0.008591065,22.975945,20.0,23280,0.3281786941580756,20
ORG,오렌지필,BUMPER_R,MINOR,1107,0.4787714543812105,0.45257452574525747,0.06865401987353206,A,21,0.2104787714543812,44.37344,0.009033424,23.003975,20.0,22140,0.3179765130984643,20
ORG,오렌지필,FD,MINOR,1124,0.47597864768683273,0.4234875444839858,0.10053380782918149,A,22,0.25533807829181493,44.880604,0.0053380784,23.008274,20.0,22480,0.3087188612099644,20
ORG,오렌지필,FF,MINOR,1111,0.4752475247524752,0.44284428442844287,0.0819081908190819,A,7,0.20612061206120613,45.270298,0.0072007203,23.09568,20.0,22220,0.3177317731773177,20
ORG,오렌지필,HOOD,MINOR,1136,0.4779929577464789,0.43485915492957744,0.08714788732394366,A,7,0.2147887323943662,45.070686,0.0044014086,22.909067,20.0,22720,0.323943661971831,20
ORG,오렌지필,QTR_L,MINOR,1195,0.48284518828451883,0.42343096234309624,0.09372384937238494,A,6,0.2410041841004184,44.868786,0.0058577405,23.013054,20.0,23900,0.302928870292887,20
ORG,오렌지필,QTR_R,MINOR,1126,0.46714031971580816,0.44316163410301956,0.08969804618117229,A,22,0.2291296625222025,44.81927,0.007992895,22.953997,20.0,22520,0.3019538188277087,20
ORG,오렌지필,RD,MINOR,1107,0.4932249322493225,0.4290876242095754,0.07768744354110207,A,6,0.2222222222222222,44.639385,0.008130081,22.995663,20.0,22140,0.3089430894308943,20
ORG,오렌지필,RF,MINOR,1163,0.471195184866724,0.4282029234737747,0.10060189165950129,A,21,0.2519346517626827,45.239468,0.0025795356,23.014359,20.0,23260,0.30782459157351677,20
ORG,오렌지필,ROCKER,MINOR,1146,0.45287958115183247,0.456369982547993,0.09075043630017451,B,22,0.22338568935427575,44.84354,0.007853403,22.941448,20.0,22920,0.29842931937172773,20
ORG,오렌지필,ROOF,MINOR,1222,0.46890343698854337,0.4328968903436989,0.09819967266775777,A,22,0.23076923076923078,44.984535,0.004091653,22.969395,20.0,24440,0.31669394435351883,20
ORG,오렌지필,TRUNK,MINOR,1181,0.4572396274343776,0.46655376799322607,0.07620660457239628,B,21,0.23454699407281965,44.766045,0.0076206606,22.870789,20.0,23620,0.28958509737510585,20
PBB,도장기포,BUMPER_F,MINOR,1697,0.47672362993517975,0.4313494401885681,0.09192692987625221,A,22,0.22274602239245728,45.113556,0.005303477,22.896465,30.0,50910,0.30760164997053624,30
PBB,도장기포,BUMPER_R,MINOR,1692,0.45685579196217496,0.45449172576832153,0.08865248226950355,A,6,0.22695035460992907,44.910164,0.006501182,23.047342,30.0,50760,0.299645390070922,30
PBB,도장기포,FD,MINOR,1689,0.4843102427471877,0.428656009473061,0.08703374777975133,A,6,0.2291296625222025,44.863354,0.0065127295,22.910538,30.0,50670,0.2966252220248668,30
PBB,도장기포,FF,MINOR,1751,0.47858366647629924,0.4351798972015991,0.08623643632210165,A,21,0.2278697886921759,44.413704,0.0068532266,23.026213,30.0,52530,0.30211307824100514,30
PBB,도장기포,HOOD,MINOR,1680,0.46785714285714286,0.4511904761904762,0.08095238095238096,A,21,0.20773809523809525,45.05083,0.005952381,22.930357,30.0,50400,0.30952380952380953,30
PBB,도장기포,QTR_L,MINOR,1759,0.46389994314951677,0.4496873223422399,0.08641273450824331,A,21,0.22399090392268334,45.010574,0.007959068,23.1083,30.0,52770,0.297896532120523,30
PBB,도장기포,QTR_R,MINOR,1810,0.474585635359116,0.43922651933701656,0.0861878453038674,A,6,0.22983425414364642,44.99298,0.0060773483,23.036907,30.0,54300,0.2850828729281768,30
PBB,도장기포,RD,MINOR,1749,0.4716981132075472,0.4562607204116638,0.07204116638078903,A,21,0.20240137221269297,44.94883,0.0051457975,23.04997,30.0,52470,0.29845626072041165,30
PBB,도장기포,RF,MINOR,1699,0.4679223072395527,0.44084755738669806,0.09123013537374926,A,21,0.22189523248969983,44.866333,0.0076515595,23.104708,30.0,50970,0.30665097115950557,30
PBB,도장기포,ROCKER,MINOR,1747,0.4934172867773326,0.41499713795077275,0.09158557527189468,A,22,0.22495706926159129,44.87567,0.008013737,23.009846,30.0,52410,0.2999427590154551,30
PBB,도장기포,ROOF,MINOR,1719,0.48051192553810357,0.4293193717277487,0.09016870273414776,A,6,0.22920302501454334,44.881676,0.0063990694,22.977604,30.0,51570,0.3054101221640489,30
PBB,도장기포,TRUNK,MINOR,1746,0.49140893470790376,0.4209621993127148,0.08762886597938144,A,6,0.23825887743413515,44.93242,0.005727377,22.919472,30.0,52380,0.29152348224513175,30
PDR,도장흘림,BUMPER_F,MINOR,1447,0.47339322736696615,0.4498963372494817,0.07671043538355218,A,21,0.2128541810642709,44.74499,0.006219765,23.094334,25.0,36175,0.2923289564616448,25
PDR,도장흘림,BUMPER_R,MINOR,1447,0.47753973738769867,0.4367657221838286,0.0856945404284727,A,21,0.21907394609536973,44.656532,0.007601935,23.084175,25.0,36175,0.28127159640635796,25
PDR,도장흘림,FD,MINOR,1460,0.4945205479452055,0.42054794520547945,0.08493150684931507,A,7,0.22808219178082192,44.92377,0.004109589,22.987535,25.0,36500,0.3061643835616438,25
PDR,도장흘림,FF,MINOR,1446,0.47648686030428766,0.43775933609958506,0.08575380359612725,A,6,0.22752420470262794,45.06065,0.00069156295,22.978008,25.0,36150,0.2842323651452282,25
PDR,도장흘림,HOOD,MINOR,1422,0.48452883263009844,0.4360056258790436,0.07946554149085795,A,6,0.22433192686357242,45.259987,0.0049226442,22.944584,25.0,35550,0.3108298171589311,25
PDR,도장흘림,QTR_L,MINOR,1375,0.4669090909090909,0.45454545454545453,0.07854545454545454,A,7,0.20363636363636364,44.87978,0.0036363637,22.796291,25.0,34375,0.2989090909090909,25
PDR,도장흘림,QTR_R,MINOR,1439,0.47463516330785266,0.4454482279360667,0.07991660875608061,A,7,0.21612230715774844,44.78485,0.008339125,22.945518,25.0,35975,0.2953439888811675,25
PDR,도장흘림,RD,MINOR,1406,0.4672830725462304,0.42532005689900426,0.1073968705547653,A,22,0.2375533428165007,45.043102,0.0035561877,22.967638,25.0,35150,0.30440967283072545,25
PDR,도장흘림,RF,MINOR,1438,0.48678720445062584,0.42559109874826145,0.08762169680111266,A,7,0.2114047287899861,44.99256,0.004867872,22.914536,25.0,35950,0.3143254520166898,25
PDR,도장흘림,ROCKER,MINOR,1417,0.49258997882851097,0.42201834862385323,0.08539167254763586,A,21,0.2081863091037403,45.11588,0.007057163,22.925688,25.0,35425,0.3048694424841214,25
PDR,도장흘림,ROOF,MINOR,1446,0.4730290456431535,0.4315352697095436,0.0954356846473029,A,22,0.23374827109266944,45.02877,0.0076071923,22.997305,25.0,36150,0.2869986168741355,25
PDR,도장흘림,TRUNK,MINOR,1368,0.4641812865497076,0.4546783625730994,0.08114035087719298,A,6,0.23538011695906433,45.165714,0.0036549708,23.02807,25.0,34200,0.2953216374269006,25
SCR,스크래치,BUMPER_F,MINOR,3620,0.4861878453038674,0.4331491712707182,0.08066298342541436,A,21,0.21298342541436463,44.864998,0.009116022,23.002542,15.0,54300,0.29972375690607733,15
SCR,스크래치,BUMPER_R,MINOR,3449,0.48680777036822265,0.42997970426210497,0.08321252536967237,A,7,0.21919396926645404,45.176285,0.004639026,22.967701,15.0,51735,0.29283850391417804,15
SCR,스크래치,FD,MINOR,3602,0.47779011660188786,0.43920044419766796,0.0830094392004442,A,6,0.2245974458634092,44.889393,0.009716824,23.034924,15.0,54030,0.29733481399222655,15
SCR,스크래치,FF,MINOR,3471,0.4727744165946413,0.4341688274272544,0.0930567559781043,A,22,0.23393834629789687,45.019733,0.005762028,22.970354,15.0,52065,0.29328723710746185,15
SCR,스크래치,HOOD,MINOR,3481,0.4806090203964378,0.4337833955759839,0.08560758402757829,A,6,0.22665900603274922,44.833466,0.006607297,23.053577,15.0,52215,0.297328353921287,15
SCR,스크래치,QTR_L,MINOR,3496,0.44765446224256294,0.45537757437070936,0.09696796338672768,B,21,0.2339816933638444,45.029663,0.008295194,23.04342,15.0,52440,0.28832951945080093,15
SCR,스크래치,QTR_R,MINOR,3569,0.48220790137293357,0.4295320818156346,0.08826001681143178,A,7,0.2263939478845615,44.84021,0.0067245727,23.031858,15.0,53535,0.2986831045110675,15
SCR,스크래치,RD,MINOR,3483,0.4751650875681883,0.4409991386735573,0.08383577375825438,A,6,0.21992535170829744,44.706516,0.008900373,22.977951,15.0,52245,0.30289979902383,15
SCR,스크래치,RF,MINOR,3469,0.47708273277601615,0.435572211011819,0.08734505621216489,A,7,0.22081291438454886,44.872704,0.009512828,22.985905,15.0,52035,0.3046987604496973,15
SCR,스크래치,ROCKER,MINOR,3554,0.4783342712436691,0.4395047833427124,0.08216094541361846,A,6,0.2248171074845245,45.014996,0.0047833426,23.008188,15.0,53310,0.30782217220033764,15
SCR,스크래치,ROOF,MINOR,3546,0.4842075578116187,0.428087986463621,0.0877044557247603,A,7,0.22673434856175972,44.975945,0.0064861816,23.018724,15.0,53190,0.305414551607445,15
SCR,스크래치,TRUNK,MINOR,3692,0.4685807150595883,0.44366197183098594,0.08775731310942579,A,22,0.22291440953412783,45.170288,0.0054171183,23.025974,15.0,55380,0.30850487540628385,15
WLD,용접불량,BUMPER_F,CRITICAL,430,0.5116279069767442,0.413953488372093,0.07441860465116279,A,7,0.21395348837209302,45.046047,0.0023255814,22.89372,120.0,51600,1.0,120
WLD,용접불량,BUMPER_R,CRITICAL,450,0.47333333333333333,0.43333333333333335,0.09333333333333334,A,22,0.21777777777777776,44.427998,0.0044444446,22.898668,120.0,54000,1.0,120
WLD,용접불량,FD,CRITICAL,435,0.5011494252873563,0.42298850574712643,0.07586206896551724,A,7,0.21379310344827587,44.866436,0.0022988506,22.823677,120.0,52200,1.0,120
WLD,용접불량,FF,CRITICAL,423,0.5106382978723404,0.3971631205673759,0.09219858156028368,A,6,0.23167848699763594,45.075886,0.0023640662,23.055082,120.0,50760,1.0,120
WLD,용접불량,HOOD,CRITICAL,450,0.4866666666666667,0.4288888888888889,0.08444444444444445,A,6,0.22444444444444445,45.237556,0.006666667,22.887112,120.0,54000,1.0,120
WLD,용접불량,QTR_L,CRITICAL,434,0.4608294930875576,0.45852534562211983,0.08064516129032258,A,7,0.20506912442396313,45.203686,0.0069124424,23.13364,120.0,52080,1.0,120
WLD,용접불량,QTR_R,CRITICAL,457,0.47702407002188185,0.44638949671772427,0.07658643326039387,A,7,0.19693654266958424,44.869587,0.0043763677,22.708315,120.0,54840,1.0,120
WLD,용접불량,RD,CRITICAL,428,0.4532710280373832,0.46261682242990654,0.08411214953271028,B,21,0.205607476635514,45.18271,0.011682243,23.051401,120.0,51360,1.0,120
WLD,용접불량,RF,CRITICAL,434,0.48847926267281105,0.41013824884792627,0.10138248847926268,A,6,0.2534562211981567,44.336864,0.004608295,22.796545,120.0,52080,1.0,120
WLD,용접불량,ROCKER,CRITICAL,407,0.4914004914004914,0.4348894348894349,0.07371007371007371,A,21,0.19901719901719903,44.55774,0.00982801,23.155527,120.0,48840,1.0,120
WLD,용접불량,ROOF,CRITICAL,429,0.48484848484848486,0.4149184149184149,0.10023310023310024,A,7,0.2400932400932401,45.119114,0.0023310024,23.013754,120.0,51480,1.0,120
WLD,용접불량,TRUNK,CRITICAL,393,0.4580152671755725,0.46055979643765904,0.08142493638676845,B,7,0.21374045801526717,44.33384,0.012722646,22.969975,120.0,47160,1.0,120
